生命科学学院,Chris
生命科学学院,毛旭明
建筑工程学院,王东辉
环境与资源学院,田光明
控制科学与工程学系,徐正国
药学院,何俏军
机械工程学系,汪延成
数学系,邹卫华
生命科学学院,吴敏
人文学院,汪维辉
经济学院,王义中
管理学院,邬爱其
数学系,王成波
管理学院,徐维东
化学系,朱岩
外国语言文化与国际交流学院,郑猛
经济学院,郑备军
人文学院,朱春秧
医学院,詹金彪
公共管理学院,许法根
公共管理学院,曹宇
建筑工程学院,汪劲丰
数学系,钱英
建筑工程学院,沈雁彬
教育学院,肖龙海
人文学院,胡小军
人文学院,陶磊
物理学系,王从健
教育学院,汪辉
高分子科学与工程学系,孙景志
数学系,薛儒英
学科建设处（与学位委员会办公室合署）,周天华
物理学系,陆璇辉
外国语言文化与国际交流学院,薛冉冉
管理学院,赵静
信息与电子工程学系,郑史烈
外国语言文化与国际交流学院,闵尚超
国际教育学院,黄灵红
经济学院,骆兴国
外国语言文化与国际交流学院,沈国琴
环境与资源学院,张丽萍
控制科学与工程学系,赵均
管理学院,陈随军
物理学系,袁辉球
医学院,方向明
生命科学学院,卢建平
化学工程与生物工程学系,卜志扬
生物系统工程与食品科学学院,应铁进
环境与资源学院,黄敬峰
航空航天学院,应祖光
环境与资源学院,刘维屏
法学院,何怀文
计算机科学与技术学院,外聘1
公共管理学院,陈建军
建筑工程学院,曹震宇
农业与生物技术学院,张云
生物系统工程与食品科学学院,蒋焕煜
高分子科学与工程学系,安全福
生命科学学院,金勇丰
外国语言文化与国际交流学院,吴宗杰
法学院,肖燕
地球科学系,汤燕冰
电气工程学院,卢琴芬
人事处,刘翔
信息与电子工程学系,孙斌
管理学院,韩洪云
建筑工程学院,刘翠
环境与资源学院,杨肖娥
光电信息工程学系,章岳光
建筑工程学院,王晖
人文学院,王云路
医学院,陈坤
人文学院,王春
农业与生物技术学院,孙崇德
人文学院,陈虹
心理与行为科学系,张智君
信息与电子工程学系,史治国
农业与生物技术学院,张敬泽
教育学院,姜海
经济学院,金祥荣
信息与电子工程学系,施红军
医学院,纪俊峰
数学系,唐炳康
建筑工程学院,祝丽丽
紫金港校区党工委（紫金港校区管理委员会）,陈飞
传媒与国际文化学院,王建刚
高分子科学与工程学系,倪旭峰
生物医学工程与仪器科学学院,黄轶伦
国际教育学院,陈磊
经济学院,徐加
理学院,沈宏
能源工程学系,余春江
农业与生物技术学院,尹燕妮
外国语言文化与国际交流学院,洪峥
建筑工程学院,方磊
经济学院,何樟勇
经济学院,许云华
公共管理学院,徐力
信息与电子工程学系,陈鹏飞
医学院,胡虎
人文学院,方一新
数学系,杨海涛
电气工程学院,方攸同
农业与生物技术学院,郭逸蓉
外国语言文化与国际交流学院,马瑾
环境与资源学院,王飞儿
心理与行为科学系,金卫华
国际教育学院,王飞焱
物理学系,阮晓声
人文学院,邹广胜
人文学院,陆敏珍
理学院,张帼奋
农业与生物技术学院,师恺
人文学院,陈振濂
外国语言文化与国际交流学院,安文英
信息与电子工程学系,胡浩基
外国语言文化与国际交流学院,王小潞
地球科学系,厉子龙
医学院,徐立红
计算机科学与技术学院,高云君
农业与生物技术学院,陆建良
数学系,李秉政
公共管理学院,杨遴杰
思想政治理论教学科研部,杨冀辰
人文学院,吴土法
农业与生物技术学院,马忠华
教育学院,王伯华
传媒与国际文化学院,叶琼丰
农业与生物技术学院,王岳飞
生命科学学院,管敏鑫
管理学院,陈明亮
管理学院,郭红东
数学系,董浙
思想政治理论教学科研部,陈小英
经济学院,韩菁
医学院,李仲杰
建筑工程学院,谢康和
化学系,陈志春
经济学院,柴效武
环境与资源学院,杨方星
信息与电子工程学系,钟财军
环境与资源学院,姚信
数学系,梁克维
电气工程学院,潘丽萍
建筑工程学院,沈佳轶
建筑工程学院,连铭
电气工程学院,范承志
医学院,朱善宽
经济学院,余燕春
心理与行为科学系,卫薇
农业与生物技术学院,卢钢
教育学院,高乃春
法学院,钟瑞庆
数学系,蔡天新
建筑工程学院,冉启华
机械工程学系,金逸峰
电气工程学院,杨家强
物理学系,吴惠桢
航空航天学院,宋广华
数学系,张南松
国际教育学院,李佳
能源工程学系,朱华
生物医学工程与仪器科学学院,郑筱祥
计算机科学与技术学院,郑林风
能源工程学系,钟崴
计算机科学与技术学院,黄敬华
外国语言文化与国际交流学院,丁光
外国语言文化与国际交流学院,丁展平
控制科学与工程学系,黄文君
外国语言文化与国际交流学院,金明
人文学院,朱大星
物理学系,罗民兴
数学系,王梦
地球科学系,柴登峰
数学系,张奕
农业技术推广中心,石伟勇
农业技术推广中心,罗琛
计算机科学与技术学院,章国锋
物理学系,赵道木
航空航天学院,鲍荣浩
光电信息工程学系,仇旻
学生工作部,邬小撑
农业技术推广中心,屠振力
机械工程学系,李伟
数学系,程晓良
机械工程学系,杨将新
能源工程学系,倪明江
人文学院,郭昊
生物系统工程与食品科学学院,盛奎川
外国语言文化与国际交流学院,Chamard
建筑工程学院,明焱
医学院,许毅
计算机科学与技术学院,陈奇
人文学院,丛杭青
建筑工程学院,汪均如
计算机科学与技术学院,庄越挺
医学院,胡申江
化学系,张子张
管理学院,杜红
环境与资源学院,张志剑
数学系,苏中根
化学工程与生物工程学系,叶向群
电气工程学院,潘再平
地球科学系,陆丽珍
农业技术推广中心,惠天朝
计算机科学与技术学院,冯晓霞
农业技术推广中心,朱炳全
化学工程与生物工程学系,林建平
思想政治理论教学科研部,任凭
计算机科学与技术学院,柴春雷
能源工程学系,何文华
海洋学院,冷建兴
机械工程学系,唐建中
思想政治理论教学科研部,林小芳
生命科学学院,管文军
公共体育与艺术部,郭虹
建筑工程学院,许进军
传媒与国际文化学院,胡晓云
人文学院,沈华清
农业试验站,黄冲平
外国语言文化与国际交流学院,阿莉塔
公共体育与艺术部,吕荷莉
外国语言文化与国际交流学院,袁靖
化学系,邵海波
公共体育与艺术部,刘剑
能源工程学系,罗坤
药学院,王毅
思想政治理论教学科研部,钟为民
电气工程学院,张德华
公共管理学院,王素芳
公共管理学院,李江
管理学院,张大亮
航空航天学院,陶伟明
人文学院,孙仲
医学院,欧阳宏伟
教育学院,刘淑华
能源工程学系,孙志坚
机械工程学系,邬义杰
管理学院,周歆红
公共管理学院,郁建兴
化学系,曹发和
药学院,陈柳蓉
建筑工程学院,张爱晖
建筑工程学院,秦中伏
生物系统工程与食品科学学院,刘湘江
数学系,张立新
计算机科学与技术学院,张引
农业与生物技术学院,金敏
建筑工程学院,金方
控制科学与工程学系,刘勇
人文学院,章雪富
建筑工程学院,饶传坤
心理与行为科学系,董一胜
国际教育学院,郑颖
思想政治理论教学科研部,段治文
人文学院,李恒威
海洋学院,何昊哲
机械工程学系,管成
公共管理学院,张翔
外国语言文化与国际交流学院,马安东
生命科学学院,蒋萍萍
化学系,盛亚东
环境与资源学院,林琦
建筑工程学院,毛欣炜
生命科学学院,寿惠霞
传媒与国际文化学院,吕国华
公共管理学院,Gregory Moore
光电信息工程学系,杨甬英
电气工程学院,王正仕
生物系统工程与食品科学学院,罗自生
电气工程学院,马皓
生命科学学院,周启发
农业与生物技术学院,周艳虹
生命科学学院,席咏梅
航空航天学院,张春利
医学院,林旭瑗
管理学院,宝贡敏
人文学院,陈越骅
公共管理学院,楼宇
计算机科学与技术学院,卜凯
法学院,郑磊
公共管理学院,蒋文华
管理学院,李浩
医学院,王青青
生命科学学院,江辉
管理学院,阮建青
控制科学与工程学系,卢建刚
医学院,蔡挺
农业与生物技术学院,曹家树
生命科学学院,邱英雄
公共管理学院,韩福国
外国语言文化与国际交流学院,张兴刚
化学工程与生物工程学系,郑水英
生命科学学院,朱成钢
计算机科学与技术学院,胡敏
光电信息工程学系,吕玮阁
机械工程学系,赵昕玥
公共管理学院,米红
医学院,华金中
生物医学工程与仪器科学学院,王永国
计算机科学与技术学院,陈实
物理学系,王兆英
控制科学与工程学系,周建光
人文学院,楼毅生
公共体育与艺术部,黄小玲
航空航天学院,王宏涛
教育学院,黎禾
外国语言文化与国际交流学院,谢志宇
环境与资源学院,杨坤
物理学系,陈一新
药学院,杜永忠
光电信息工程学系,杨青
电气工程学院,张红岩
建筑工程学院,傅东黎
理学院,郑大方
建筑工程学院,张大伟
外国语言文化与国际交流学院,吴小英
外国语言文化与国际交流学院,陈艳华
管理学院,戚译
教育学院,蓝劲松
外国语言文化与国际交流学院,John Martin
农业与生物技术学院,谢艳
建筑工程学院,赵宇
管理学院,姚明龙
公共管理学院,王小章
机械工程学系,王庆九
计算机科学与技术学院,林怀忠
化学系,林旭锋
传媒与国际文化学院,高力克
航空航天学院,潘海斌
人文学院,吴秀明
化学工程与生物工程学系,吴绵斌
地球科学系,田荣湘
能源工程学系,王勤辉
地球科学系,张兴平
农业与生物技术学院,朱军
化学工程与生物工程学系,尹金荣
国际教育学院,祁青
外国语言文化与国际交流学院,吴永琴
机械工程学系,雷勇
管理学院,周亚庆
光电信息工程学系,高士明
航空航天学院,曲绍兴
人文学院,祖慧
人文学院,陈红民
药学院,高建青
教育学院,张文军
化学系,姚波
教育学院,丛湖平
建筑工程学院,张麒
学生工作部,朱婉儿
生物系统工程与食品科学学院,余挺
公共管理学院,陈丽君
数学系,胡贤良
外国语言文化与国际交流学院,Damien Donnelly
医学院,刘伟
数学系,孙方裕
外国语言文化与国际交流学院,熊海虹
法学院,陆青
计算机科学与技术学院,潘肖煜
环境与资源学院,胡宝兰
农业与生物技术学院,汪志平
生物系统工程与食品科学学院,冯凤琴
人文学院,张家成
教育学院,林小美
信息与电子工程学系,陈惠芳
监察处(与纪律检查委员会办公室合署),郭文刚
数学系,夏巧玲
建筑工程学院,罗尧治
物理学系,王淼
地球科学系,贾晓静
建筑工程学院,葛丹东
建筑工程学院,蔡萌
医学院,严杰
计算机科学与技术学院,季江民
医学院,方马荣
化学系,徐旭荣
人文学院,杜正贞
中国西部发展研究院,董雪兵
建筑工程学院,徐雷
外国语言文化与国际交流学院,楠元景子
党委办公室、校长办公室,徐象国
物理学系,鲍德松
控制科学与工程学系,吴俊
数学系,徐林荣
电气工程学院,吴新科
农业与生物技术学院,刘树生
药学院,余露山
公共体育与艺术部,陈坚坚
计算机科学与技术学院,吴春明
心理与行为科学系,何洁
思想政治理论教学科研部,张新樟
思想政治理论教学科研部,许丽萍
计算机科学与技术学院,陈岭
能源工程学系,王涛
公共体育与艺术部,沈亚培
计算机科学与技术学院,张泉方
外国语言文化与国际交流学院,沈弘
电气工程学院,阮秉涛
农业与生物技术学院,蔡新忠
计算机科学与技术学院,陆系群
医学院,徐恩萍
建筑工程学院,陈丽华
化学工程与生物工程学系,潘鹏举
数学系,尹永成
中国西部发展研究院,汪建坤
动物科学学院,孙红祥
建筑工程学院,詹树林
物理学系,朱雯
农业与生物技术学院,王政逸
计算机科学与技术学院,郑扣根
教育学院,徐小洲
建筑工程学院,胡安峰
动物科学学院,王敏奇
法学院,翁里
人文学院,苏阿香
环境与资源学院,刘璟
数学系,李将云
建筑工程学院,王福民
控制科学与工程学系,梁军
公共体育与艺术部,虞力宏
理学院,助教
建筑工程学院,王洁
管理学院,邢以群
医学院,周俊
人文学院,黄擎
公共管理学院,刘志军
教育学院,王素文
控制科学与工程学系,张光新
法学院,朱庆育
物理学系,吴建澜
控制科学与工程学系,杨春节
经济学院,孔伟杰
教育学院,沈国平
教育学院,刘文明
心理与行为科学系,何贵兵
人文学院,盘剑
生物系统工程与食品科学学院,崔笛
光电信息工程学系,项震
化学系,林贤福
人文学院,陈玉洁
医学院,王红妹
药学院,韩峰
电气工程学院,沈红
化学系,刘迎春
医学院,谢志坚
公共体育与艺术部,傅建东
机械工程学系,程锦
材料科学与工程学系,陈立新
公共体育与艺术部,朱桦
生命科学学院,王根轩
农业与生物技术学院,涂巨民
能源工程学系,甘智华
信息与电子工程学系,龚小谨
法学院,韩家勇
公共管理学院,刘晓婷
机械工程学系,傅建中
管理学院,项坚
生物系统工程与食品科学学院,叶章颖
国际教育学院,陈勤
计算机科学与技术学院,翁恺
外国语言文化与国际交流学院,徐雪英
医学院,唐孝威
管理学院,吴东
生物系统工程与食品科学学院,朱加进
地球科学系,章凤奇
建筑工程学院,唐晓武
心理与行为科学系,曹立人
农业技术推广中心,徐礼根
控制科学与工程学系,杨再跃
医学院,韩曙
电气工程学院,王慧芳
建筑工程学院,张磊
地球科学系,杨树锋
药学院,曾苏
环境与资源学院,冯英
信息与电子工程学系,崔宁
管理学院,朱茶芬
医学院,王琳琳
数学系,刘康生
经济学院,豆江利
经济学院,俞剑平
电气工程学院,项基
电气工程学院,熊素铭
外国语言文化与国际交流学院,马晓俐
外国语言文化与国际交流学院,王永
机械工程学系,詹建潮
心理与行为科学系,徐青
法学院,吴卫华
光电信息工程学系,岑兆丰
人文学院,窦怀永
化学系,王永尧
数学系,黄正达
医学院,焦晶晶
环境与资源学院,吕军
地球科学系,林秀斌
公共体育与艺术部,林洁
控制科学与工程学系,戴连奎
建筑工程学院,吴越
国际教育学院,孔祥霞
经济学院,应悦
物理学系,李有泉
物理学系,王俊
海洋学院,孙贵青
生命科学学院,方祥年
化学系,杜志强
管理学院,吕佳颖
机械工程学系,王进
生物医学工程与仪器科学学院,黄海
外国语言文化与国际交流学院,闻人行
环境与资源学院,徐新华
学生工作部,祝一虹
电气工程学院,周浩
公共体育与艺术部,董晓虹
外国语言文化与国际交流学院,梁秀娟
电气工程学院,干于
海洋学院,陈庆
化学系,西蒙杜特怀勒
计算机科学与技术学院,黄正谦
人文学院,苏宏斌
信息与电子工程学系,唐奕
数学系,童雯雯
医学院,李菊花
计算机科学与技术学院,陈纯
环境与资源学院,陈红
生物医学工程与仪器科学学院,马永昌
计算机科学与技术学院,唐敏
经济学院,王雁茜
生命科学学院,王君晖
药学院,韩旻
信息与电子工程学系,于慧敏
人文学院,王轶
医学院,盛建中
建筑工程学院,林涛
生物医学工程与仪器科学学院,封洲燕
数学系,郑志浩
化学系,陈平
教育学院,赵康
光电信息工程学系,沈永行
农业与生物技术学院,余虹
农业与生物技术学院,须海荣
